Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverter)
2/2/16,21,1.00,0.18,10.85,11.72,100.00,2.44,28.69,29.47,0.00,
2/2/16,22,1.00,0.09,10.19,11.06,98.72,6.68,28.72,29.50,0.00,
2/2/16,23,1.00,0.24,9.66,10.26,100.00,4.44,28.72,29.50,0.00,
2/2/16,24,1.00,0.25,9.58,9.67,96.44,0.55,28.73,29.51,0.00,
2/3/16,1,1.00,0.25,7.92,8.84,100.00,6.68,28.73,29.51,0.00,
2/3/16,2,0.97,0.73,6.23,7.21,98.86,5.53,28.74,29.52,0.00,
2/3/16,3,0.60,5.44,5.00,6.06,97.28,11.24,28.75,29.53,0.00,
2/3/16,4,0.00,10.00,4.60,3.50,85.16,13.88,28.77,29.55,0.00,
2/3/16,5,0.48,10.00,3.79,2.38,86.28,13.40,28.80,29.58,0.00,
2/3/16,6,0.16,10.00,2.47,0.22,79.12,15.36,28.83,29.61,0.68,
2/3/16,7,0.56,10.00,1.86,-0.17,81.04,11.72,28.85,29.63,303.38,
2/3/16,8,0.98,10.00,2.47,0.23,80.04,15.23,28.88,29.67,327.75,
2/3/16,9,1.00,10.00,3.14,0.42,79.00,20.56,28.91,29.70,337.75,
2/3/16,10,1.00,10.00,3.13,1.02,81.88,19.40,28.94,29.73,205.00,
2/3/16,11,1.00,7.44,2.78,1.22,86.80,21.40,28.96,29.75,250.50,
2/3/16,12,1.00,5.30,2.05,1.05,88.70,22.35,28.98,29.77,378.75,
2/3/16,13,1.00,9.74,1.58,0.39,88.58,21.59,29.00,29.79,310.00,
2/3/16,14,1.00,9.89,1.10,-0.08,87.56,22.57,29.05,29.84,256.25,
2/3/16,15,1.00,10.00,0.31,-0.77,88.58,19.00,29.08,29.88,353.75,
2/3/16,16,1.00,10.00,-0.22,-1.66,85.76,21.16,29.13,29.92,62.80,
2/3/16,17,1.00,10.00,-0.54,-2.36,84.20,19.72,29.17,29.96,0.74,
2/3/16,18,1.00,10.00,-0.69,-2.70,83.08,17.36,29.22,30.01,0.00,
2/3/16,19,1.00,10.00,-0.82,-3.04,80.20,16.24,29.26,30.05,0.00,
2/3/16,20,1.00,10.00,-0.96,-3.64,79.76,16.56,29.29,30.08,0.00,
2/3/16,21,1.00,10.00,-1.12,-3.84,79.44,15.76,29.30,30.09,0.00,
2/3/16,22,1.00,10.00,-1.60,-4.26,78.00,18.44,29.32,30.11,0.00,
2/3/16,23,1.00,10.00,-1.85,-4.67,79.16,15.72,29.34,30.13,0.00,
2/3/16,24,1.00,10.00,-1.87,-4.80,81.56,20.56,29.34,30.14,0.00,
2/4/16,1,1.00,10.00,-2.57,-5.63,78.00,14.72,29.36,30.16,0.00,
2/4/16,2,1.00,10.00,-3.08,-6.13,78.00,14.48,29.38,30.17,0.00,
2/4/16,3,1.00,10.00,-3.39,-5.78,79.68,13.84,29.38,30.18,0.00,
2/4/16,4,1.00,10.00,-3.81,-6.14,77.88,14.04,29.39,30.19,0.00,
2/4/16,5,1.00,10.00,-4.32,-6.76,77.88,13.08,29.39,30.19,0.00,
2/4/16,6,1.00,10.00,-4.76,-7.75,75.92,13.68,29.42,30.22,0.00,
2/4/16,7,0.42,10.00,-5.41,-8.68,75.44,12.08,29.45,30.25,243.54,
2/4/16,8,0.30,10.00,-5.49,-8.80,74.57,11.88,29.46,30.26,1750.25,
2/4/16,9,0.29,10.00,-4.75,-8.50,71.64,12.60,29.48,30.28,3386.00,
2/4/16,10,0.15,10.00,-3.81,-8.15,69.84,10.76,29.49,30.29,4258.25,
2/4/16,11,0.00,10.00,-2.86,-7.78,66.84,8.72,29.47,30.27,4610.25,
2/4/16,12,0.28,10.00,-1.92,-6.76,67.72,10.44,29.46,30.26,4617.25,
2/4/16,13,0.00,10.00,-1.19,-6.52,64.52,10.64,29.45,30.25,4278.25,
2/4/16,14,0.00,10.00,-0.49,-6.05,64.84,8.08,29.44,30.24,3491.75,
2/4/16,15,0.00,10.00,0.10,-5.54,63.80,8.72,29.45,30.25,1941.00,
2/4/16,16,0.00,10.00,0.12,-5.36,64.96,7.68,29.47,30.27,542.00,
2/4/16,17,0.00,10.00,-0.60,-4.66,69.20,4.84,29.49,30.29,12.84,
2/4/16,18,0.00,10.00,-1.10,-3.68,78.64,4.40,29.49,30.29,0.00,
2/4/16,19,0.83,10.00,-0.97,-3.12,81.04,4.44,29.50,30.30,0.00,
2/4/16,20,0.54,10.00,-1.39,-3.50,82.00,6.04,29.50,30.30,0.00,
2/4/16,21,0.14,10.00,-1.73,-3.58,81.96,5.76,29.50,30.30,0.00,
2/4/16,22,0.00,10.00,-2.00,-3.65,85.16,3.84,29.50,30.30,0.00,
2/4/16,23,0.00,10.00,-2.04,-4.13,80.68,5.84,29.50,30.30,0.00,
2/4/16,24,0.00,10.00,-1.88,-4.62,78.33,6.33,29.50,30.30,0.00,
2/5/16,1,0.14,10.00,-2.45,-4.35,81.64,5.80,29.50,30.30,0.00,
2/5/16,2,0.00,10.00,-2.36,-4.90,77.48,6.84,29.50,30.30,0.00,
2/5/16,3,0.00,10.00,-2.36,-5.01,75.12,7.80,29.49,30.29,0.00,
2/5/16,4,0.00,10.00,-2.79,-4.66,82.80,9.36,29.50,30.30,0.00,
2/5/16,5,0.00,10.00,-3.35,-4.56,85.00,7.64,29.51,30.31,0.00,
2/5/16,6,0.56,9.96,-3.37,-4.33,87.27,7.23,29.53,30.33,0.37,
2/5/16,7,0.98,6.42,-2.93,-3.86,87.58,9.42,29.55,30.35,107.35,
2/5/16,8,0.92,9.73,-2.74,-4.65,84.08,10.00,29.57,30.37,652.25,
2/5/16,9,0.75,10.00,-1.90,-4.38,76.42,11.31,29.58,30.38,768.25,
2/5/16,10,1.00,10.00,-1.58,-4.41,75.62,8.85,29.59,30.39,1127.00,
2/5/16,11,1.00,10.00,-1.34,-4.07,77.04,8.64,29.59,30.39,1213.50,
2/5/16,12,1.00,10.00,-0.96,-4.04,76.92,8.72,29.58,30.38,1881.50,
2/5/16,13,1.00,10.00,-0.57,-4.03,74.76,6.04,29.56,30.36,1567.25,
2/5/16,14,1.00,10.00,-0.35,-4.03,74.76,7.36,29.57,30.37,1291.25,
2/5/16,15,1.00,10.00,-0.10,-4.10,72.84,6.36,29.57,30.37,710.25,
2/5/16,16,1.00,10.00,-0.15,-3.85,74.76,5.00,29.58,30.38,304.13,
2/5/16,17,0.97,10.00,-0.70,-4.07,75.56,4.74,29.58,30.39,10.74,
2/5/16,18,0.28,10.00,-1.32,-3.68,83.54,3.39,29.57,30.37,0.00,
2/5/16,19,0.04,9.04,-2.24,-3.56,87.46,0.23,29.57,30.37,0.00,
2/5/16,20,0.73,8.00,-2.41,-3.69,89.73,0.11,29.57,30.37,0.00,
2/5/16,21,0.00,7.00,-2.69,-3.85,89.80,2.88,29.54,30.34,0.00,
2/5/16,22,0.00,6.96,-2.78,-3.71,90.08,0.20,29.55,30.35,0.00,
2/5/16,23,0.00,6.96,-3.19,-3.86,93.28,1.16,29.54,30.34,0.00,
2/5/16,24,0.00,6.89,-3.44,-4.00,95.12,3.00,29.53,30.33,0.00,
2/6/16,1,0.00,4.08,-4.32,-4.49,94.40,0.20,29.51,30.31,0.00,
2/6/16,2,0.42,3.76,-4.60,-4.84,94.40,0.12,29.52,30.32,0.00,
2/6/16,3,0.40,4.12,-4.64,-4.88,95.84,1.16,29.51,30.31,0.00,
2/6/16,4,0.00,4.72,-4.65,-4.95,94.40,3.20,29.51,30.31,0.00,
2/6/16,5,0.41,5.04,-4.12,-5.08,93.12,2.12,29.51,30.31,0.00,
2/6/16,6,1.00,7.00,-3.27,-4.39,91.72,3.80,29.51,30.31,1.51,
2/6/16,7,0.79,5.68,-3.21,-3.66,91.04,4.28,29.52,30.32,228.13,
2/6/16,8,0.16,5.00,-2.18,-3.15,89.92,6.92,29.52,30.32,1652.75,
2/6/16,9,0.00,5.72,-0.32,-2.05,87.56,7.36,29.52,30.32,3167.75,
2/6/16,10,0.00,9.92,1.93,-1.72,75.16,8.04,29.51,30.31,3987.75,
2/6/16,11,0.00,10.00,3.80,-0.97,67.88,8.00,29.48,30.28,4331.50,
2/6/16,12,0.00,10.00,5.39,-0.72,63.40,7.76,29.45,30.25,4356.25,
2/6/16,13,0.00,10.00,6.66,-0.11,59.92,10.00,29.43,30.23,4026.75,
2/6/16,14,0.00,10.00,7.49,0.37,59.76,10.76,29.40,30.20,3248.50,
2/6/16,15,0.00,10.00,7.66,0.49,60.80,10.32,29.39,30.19,1842.50,
2/6/16,16,0.00,10.00,7.07,0.93,62.80,7.48,29.39,30.19,514.75,
2/6/16,17,0.00,10.00,4.04,0.98,75.36,5.40,29.38,30.18,16.83,
2/6/16,18,0.00,10.00,2.20,0.37,81.88,6.40,29.37,30.17,0.00,
2/6/16,19,0.00,10.00,1.60,0.28,84.56,3.88,29.37,30.17,0.00,
2/6/16,20,0.00,10.00,1.08,0.06,85.32,2.28,29.36,30.16,0.00,
2/6/16,21,0.00,10.00,0.96,-0.07,86.16,3.24,29.35,30.14,0.00,
2/6/16,22,0.00,10.00,0.84,-0.15,88.72,4.84,29.34,30.13,0.00,
2/6/16,23,0.00,10.00,0.99,-0.38,80.92,6.76,29.32,30.11,0.00,
2/6/16,24,0.00,9.89,1.39,-0.69,79.66,7.22,29.31,30.10,0.00,
2/7/16,1,0.00,10.00,0.79,-0.78,79.24,7.72,29.30,30.09,0.00,
2/7/16,2,0.00,10.00,1.56,-0.70,79.00,10.28,29.29,30.08,0.00,
2/7/16,3,0.28,10.00,1.95,-0.58,79.00,9.72,29.27,30.06,0.00,
2/7/16,4,0.28,10.00,2.21,-0.74,76.00,10.12,29.23,30.02,0.00,
2/7/16,5,0.00,10.00,2.20,-0.92,74.08,11.12,29.20,29.99,0.00,
2/7/16,6,0.14,10.00,2.15,-0.82,76.12,12.28,29.18,29.97,0.79,
2/7/16,7,0.00,10.00,2.40,-0.89,70.36,12.28,29.16,29.95,271.78,
2/7/16,8,0.00,10.00,2.96,-0.76,71.08,16.60,29.15,29.94,1249.50,
2/7/16,9,0.00,10.00,3.96,-0.61,70.20,17.96,29.12,29.91,3165.50,
2/7/16,10,0.00,10.00,5.85,0.49,66.92,19.24,29.11,29.90,3874.25,
2/7/16,11,0.00,10.00,7.77,1.47,62.80,19.36,29.08,29.87,3550.50,
2/7/16,12,0.00,10.00,8.82,1.47,60.16,18.88,29.05,29.84,4285.25,
2/7/16,13,0.28,10.00,9.12,2.36,61.36,18.00,29.03,29.82,2876.25,
2/7/16,14,0.28,10.00,8.98,2.42,62.40,18.88,29.01,29.80,2008.25,
2/7/16,15,0.14,10.00,8.28,2.25,63.80,17.80,29.01,29.80,922.75,
2/7/16,16,0.14,10.00,7.12,2.37,70.68,13.28,29.03,29.82,334.75,
2/7/16,17,0.15,10.00,5.74,2.05,71.64,12.44,29.04,29.83,19.33,
2/7/16,18,0.00,10.00,3.55,1.40,78.04,8.08,29.04,29.83,0.00,
2/7/16,19,0.65,10.00,3.52,1.44,82.20,8.68,29.03,29.82,0.00,
2/7/16,20,0.74,10.00,3.72,1.38,82.32,8.88,29.02,29.81,0.00,
2/7/16,21,0.01,10.00,2.66,0.77,83.16,9.36,29.00,29.79,0.00,
2/7/16,22,0.30,10.00,2.57,0.07,83.40,8.92,28.99,29.78,0.00,
2/7/16,23,0.74,10.00,2.11,-0.06,81.76,8.08,28.97,29.76,0.00,
2/7/16,24,0.78,10.00,1.75,-0.18,85.44,7.00,28.95,29.74,0.00,
2/8/16,1,0.47,10.00,0.73,-0.04,87.72,7.00,28.92,29.71,0.00,
2/8/16,2,0.14,10.00,0.33,-0.55,87.72,8.36,28.92,29.71,0.00,
2/8/16,3,0.00,10.00,-0.13,-1.14,87.72,8.60,28.90,29.69,0.00,
2/8/16,4,0.22,10.00,-0.10,-1.13,89.00,8.44,28.90,29.68,0.00,
2/8/16,5,0.93,10.00,0.38,-0.61,88.96,8.63,28.89,29.67,0.00,
2/8/16,6,1.00,6.70,0.54,-0.05,92.00,8.37,28.89,29.67,0.00,
2/8/16,7,1.00,3.22,0.04,-0.73,92.82,10.85,28.89,29.68,44.17,
2/8/16,8,1.00,8.00,-0.89,-1.85,89.80,14.64,28.91,29.69,112.35,
2/8/16,9,1.00,9.96,-2.34,-4.65,79.04,18.16,28.92,29.71,341.00,
2/8/16,10,1.00,10.00,-3.25,-5.12,79.12,18.88,28.94,29.73,727.00,
2/8/16,11,1.00,4.42,-3.55,-5.68,81.07,20.86,28.95,29.74,1053.50,
2/8/16,12,1.00,7.32,-3.60,-6.23,78.12,16.52,28.95,29.73,1110.25,
2/8/16,13,1.00,5.19,-4.24,-7.30,75.21,16.99,28.95,29.74,694.75,
2/8/16,14,1.00,1.78,-4.87,-6.80,82.31,16.86,28.96,29.76,370.00,
2/8/16,15,1.00,1.94,-5.22,-6.93,83.61,15.71,28.98,29.77,414.00,
2/8/16,16,1.00,4.42,-5.20,-7.21,82.00,14.88,28.99,29.78,183.00,
2/8/16,17,1.00,8.30,-5.43,-7.83,79.22,16.81,29.01,29.80,5.83,
2/8/16,18,1.00,9.70,-5.66,-7.79,79.20,17.96,29.03,29.82,0.00,
2/8/16,19,1.00,7.81,-5.89,-7.60,83.73,16.65,29.03,29.82,0.00,
2/8/16,20,1.00,9.80,-6.05,-7.74,82.28,15.76,29.02,29.81,0.00,
2/8/16,21,1.00,9.88,-6.24,-8.04,82.40,17.04,29.01,29.80,0.00,
2/8/16,22,1.00,9.71,-6.33,-8.43,81.11,17.45,29.01,29.80,0.00,
2/8/16,23,1.00,9.92,-6.49,-8.63,80.04,16.36,29.01,29.80,0.00,
2/8/16,24,1.00,10.00,-6.46,-9.11,80.56,15.22,29.00,29.79,0.00,
2/9/16,1,1.00,10.00,-7.00,-9.35,77.96,15.12,28.99,29.78,0.00,
2/9/16,2,1.00,10.00,-7.08,-9.42,77.96,14.08,28.99,29.78,0.00,
2/9/16,3,1.00,10.00,-7.15,-9.51,78.92,17.24,28.98,29.77,0.00,
2/9/16,4,1.00,9.92,-7.21,-9.42,80.84,16.00,28.99,29.78,0.00,
2/9/16,5,1.00,10.00,-7.20,-9.51,80.84,14.72,29.00,29.79,0.00,
2/9/16,6,1.00,8.36,-7.32,-9.58,79.56,14.32,29.01,29.80,0.30,
2/9/16,7,1.00,4.66,-7.77,-9.83,82.08,15.60,29.03,29.83,109.58,
2/9/16,8,1.00,4.04,-7.79,-9.99,81.72,15.35,29.04,29.84,389.25,
2/9/16,9,1.00,3.48,-7.53,-10.06,78.32,16.86,29.05,29.85,638.00,
2/9/16,10,1.00,1.98,-7.52,-9.68,81.77,19.54,29.07,29.86,720.00,
2/9/16,11,1.00,1.85,-7.41,-9.72,81.51,21.46,29.08,29.87,977.50,
2/9/16,12,1.00,2.62,-7.47,-10.37,77.75,19.63,29.08,29.87,1352.50,
2/9/16,13,0.93,3.25,-7.30,-10.62,74.11,21.48,29.07,29.87,1254.00,
2/9/16,14,1.00,4.71,-7.10,-10.81,72.08,20.12,29.09,29.88,642.00,
2/9/16,15,1.00,4.78,-7.12,-10.71,73.38,20.35,29.12,29.91,517.50,
2/9/16,16,1.00,3.84,-7.50,-10.80,76.26,18.68,29.14,29.94,184.88,
2/9/16,17,1.00,6.98,-7.71,-11.29,72.96,15.92,29.16,29.95,10.14,
2/9/16,18,1.00,5.16,-7.90,-10.10,79.44,16.04,29.19,29.98,0.00,
2/9/16,19,1.00,3.78,-8.36,-10.40,81.71,16.56,29.19,29.98,0.00,
2/9/16,20,1.00,5.80,-8.67,-11.05,77.00,17.20,29.19,29.98,0.00,
2/9/16,21,1.00,6.16,-8.98,-11.05,79.56,16.68,29.20,29.99,0.00,
2/9/16,22,1.00,5.80,-9.22,-11.39,78.28,19.52,29.20,29.99,0.00,
2/9/16,23,1.00,7.11,-9.40,-11.85,79.58,16.89,29.21,30.00,0.00,
2/9/16,24,1.00,9.89,-9.52,-12.94,76.67,15.11,29.20,29.99,0.00,
2/10/16,1,0.28,10.00,-10.67,-14.46,72.04,14.92,29.21,30.00,0.00,
2/10/16,2,0.01,10.00,-11.27,-14.46,73.00,15.76,29.23,30.02,0.00,
2/10/16,3,0.00,10.00,-11.93,-14.77,75.56,12.40,29.22,30.01,0.00,
2/10/16,4,0.00,10.00,-12.23,-15.17,74.40,13.56,29.24,30.03,0.00,
2/10/16,5,0.00,10.00,-12.78,-15.46,75.04,11.12,29.24,30.03,0.00,
2/10/16,6,0.00,10.00,-13.94,-15.79,76.16,8.96,29.26,30.05,2.41,
2/10/16,7,0.00,10.00,-13.83,-15.95,76.28,9.60,29.27,30.06,322.55,
2/10/16,8,0.00,10.00,-11.70,-15.46,70.24,14.60,29.28,30.07,1287.25,
2/10/16,9,0.00,10.00,-10.71,-15.06,67.12,17.44,29.30,30.09,2402.25,
2/10/16,10,0.28,10.00,-9.80,-14.84,64.44,14.64,29.30,30.09,3605.75,
2/10/16,11,0.00,10.00,-9.02,-13.98,65.60,13.04,29.29,30.08,3823.25,
2/10/16,12,0.28,10.00,-8.06,-13.47,63.92,11.12,29.28,30.07,3286.75,
2/10/16,13,0.29,10.00,-7.33,-13.09,61.24,11.76,29.26,30.05,2443.00,
2/10/16,14,0.00,10.00,-6.82,-12.91,60.60,11.76,29.26,30.05,2479.75,
2/10/16,15,0.38,10.00,-6.67,-12.92,59.04,10.52,29.27,30.06,880.25,
2/10/16,16,0.56,10.00,-6.68,-13.20,57.44,10.20,29.28,30.07,303.75,
2/10/16,17,0.45,10.00,-6.97,-13.04,59.64,8.88,29.30,30.09,15.30,
2/10/16,18,0.28,10.00,-7.05,-12.84,59.64,7.56,29.31,30.10,0.00,
2/10/16,19,0.15,10.00,-7.42,-12.98,64.24,6.64,29.34,30.13,0.00,
2/10/16,20,0.90,10.00,-8.02,-12.45,67.04,5.52,29.34,30.14,0.00,
2/10/16,21,0.25,10.00,-9.71,-12.97,69.04,2.88,29.36,30.15,0.00,
2/10/16,22,0.41,10.00,-10.48,-13.42,69.32,6.00,29.36,30.16,0.00,
2/10/16,23,0.88,10.00,-10.46,-13.45,69.32,5.04,29.36,30.16,0.00,
2/10/16,24,0.50,10.00,-9.72,-13.42,74.33,3.33,29.36,30.16,0.00,
2/11/16,1,1.00,10.00,-9.88,-13.41,73.00,5.00,29.36,30.16,0.00,
2/11/16,2,0.92,10.00,-9.81,-13.60,72.76,6.72,29.39,30.18,0.00,
2/11/16,3,1.00,10.00,-9.67,-13.44,72.44,6.60,29.39,30.19,0.00,
2/11/16,4,0.66,10.00,-10.47,-13.93,70.16,4.72,29.42,30.22,0.00,
2/11/16,5,0.00,10.00,-11.76,-14.29,77.80,3.76,29.45,30.25,0.00,
2/11/16,6,0.00,10.00,-12.06,-14.34,78.88,5.36,29.47,30.27,4.20,
2/11/16,7,0.00,10.00,-12.14,-15.65,68.47,8.56,29.48,30.28,542.25,
2/11/16,8,0.00,10.00,-10.42,-15.16,65.20,8.44,29.50,30.30,2208.00,
2/11/16,9,0.00,10.00,-8.95,-14.83,61.56,8.36,29.52,30.32,3659.25,
2/11/16,10,0.00,10.00,-7.91,-15.40,52.64,7.40,29.53,30.33,4471.25,
2/11/16,11,0.00,10.00,-7.11,-15.49,49.56,5.72,29.53,30.33,4673.75,
2/11/16,12,0.00,10.00,-6.33,-15.11,48.52,5.40,29.52,30.32,4670.25,
2/11/16,13,0.00,10.00,-5.77,-15.09,47.92,1.20,29.51,30.31,4464.00,
2/11/16,14,0.00,10.00,-5.21,-14.10,50.08,3.20,29.51,30.31,3738.00,
2/11/16,15,0.00,10.00,-4.93,-13.44,50.56,4.08,29.50,30.30,2381.50,
2/11/16,16,0.00,10.00,-5.24,-13.56,49.60,1.92,29.51,30.31,570.75,
2/11/16,17,0.00,10.00,-5.62,-13.46,52.72,0.00,29.51,30.31,27.93,
2/11/16,18,0.00,10.00,-5.65,-13.02,54.88,0.12,29.51,30.31,0.00,
2/11/16,19,0.30,10.00,-5.73,-13.09,54.32,0.20,29.51,30.31,0.00,
2/11/16,20,0.55,10.00,-5.92,-12.15,57.44,2.12,29.49,30.29,0.00,
2/11/16,21,0.96,10.00,-5.90,-12.02,58.40,0.12,29.49,30.29,0.00,
2/11/16,22,1.00,10.00,-5.76,-11.80,59.47,1.92,29.48,30.28,0.00,
2/11/16,23,1.00,10.00,-5.63,-11.40,61.40,0.96,29.46,30.26,0.00,
2/11/16,24,0.78,10.00,-5.44,-11.72,60.88,0.55,29.45,30.25,0.00,
2/12/16,1,0.73,10.00,-5.93,-10.36,69.08,0.12,29.42,30.22,0.00,
2/12/16,2,1.00,10.00,-5.70,-11.34,63.52,0.00,29.41,30.21,0.00,
2/12/16,3,1.00,10.00,-5.64,-10.60,65.12,1.92,29.40,30.20,0.00,
2/12/16,4,1.00,8.88,-5.84,-9.24,73.52,3.80,29.39,30.19,0.00,
2/12/16,5,1.00,4.09,-6.07,-7.92,81.89,5.03,29.39,30.19,0.00,
2/12/16,6,1.00,7.60,-6.22,-7.53,87.08,4.54,29.39,30.19,0.20,
2/12/16,7,1.00,10.00,-5.82,-6.91,87.08,6.65,29.40,30.20,62.80,
2/12/16,8,1.00,10.00,-5.22,-6.29,86.96,9.62,29.39,30.19,293.00,
2/12/16,9,1.00,10.00,-4.57,-6.40,80.20,12.92,29.39,30.19,352.50,
2/12/16,10,1.00,9.96,-3.98,-6.44,78.27,15.96,29.40,30.20,664.25,
2/12/16,11,1.00,7.44,-3.57,-6.27,78.00,15.32,29.39,30.19,702.50,
2/12/16,12,1.00,6.12,-3.54,-6.09,79.08,18.08,29.39,30.19,555.75,
2/12/16,13,1.00,6.96,-3.22,-6.95,73.15,20.73,29.39,30.19,1569.50,
2/12/16,14,1.00,10.00,-2.96,-8.59,63.07,23.04,29.39,30.19,1646.25,
2/12/16,15,0.74,10.00,-3.07,-10.04,57.48,22.36,29.41,30.21,1501.00,
2/12/16,16,0.31,10.00,-2.99,-11.06,51.92,22.24,29.42,30.22,674.25,
2/12/16,17,0.14,10.00,-4.25,-12.38,50.36,19.48,29.46,30.26,35.88,
2/12/16,18,0.00,10.00,-5.70,-12.61,56.40,14.88,29.50,30.30,0.00,
2/12/16,19,0.00,10.00,-6.85,-13.02,57.84,14.28,29.54,30.34,0.00,
2/12/16,20,0.00,10.00,-8.01,-12.59,66.80,14.76,29.56,30.36,0.00,
2/12/16,21,0.00,10.00,-8.97,-13.34,67.84,13.20,29.60,30.40,0.00,
2/12/16,22,0.00,10.00,-9.67,-14.23,64.96,14.24,29.62,30.42,0.00,
2/12/16,23,0.00,10.00,-10.33,-14.74,67.96,13.44,29.64,30.44,0.00,
2/12/16,24,0.00,10.00,-10.64,-14.94,66.67,11.55,29.66,30.46,0.00,
2/13/16,1,0.00,10.00,-11.51,-17.28,60.28,11.16,29.68,30.48,0.00,
2/13/16,2,0.00,10.00,-12.25,-18.06,60.28,11.96,29.72,30.52,0.00,
2/13/16,3,0.00,10.00,-13.00,-18.61,60.68,11.12,29.73,30.53,0.00,
2/13/16,4,0.00,10.00,-13.60,-19.62,59.68,13.00,29.75,30.55,0.00,
2/13/16,5,0.00,10.00,-14.21,-20.26,57.56,10.68,29.76,30.56,0.00,
2/13/16,6,0.00,10.00,-14.88,-19.93,62.04,6.32,29.78,30.58,5.51,
2/13/16,7,0.00,10.00,-14.93,-20.09,62.16,6.08,29.79,30.59,503.00,
2/13/16,8,0.00,10.00,-13.58,-20.54,55.08,7.48,29.80,30.61,2089.75,
